destination,hour,weekend,temperature,humidity,crowd
Ooty,15,0,30,50,100
Yercaud,18,0,26,83,100
Coorg,12,0,24,65,89
Coorg,15,0,28,71,100
Coorg,6,0,22,83,94
Kodaikanal,8,0,27,75,100
Munnar,19,0,23,62,100
Kodaikanal,20,0,16,81,100
Coorg,8,1,28,66,100
Yercaud,19,1,17,77,100
Kodaikanal,20,1,25,58,100
Coorg,9,1,17,51,89
Yercaud,10,1,26,62,100
Coorg,11,0,26,89,100
Ooty,8,1,17,76,98
Coorg,14,1,22,81,100
Kodaikanal,13,0,17,56,93
Munnar,9,0,17,61,80
Coorg,9,0,22,92,100
Yercaud,6,1,22,52,91
Kodaikanal,19,0,16,52,91
Munnar,17,1,29,79,100
Kodaikanal,18,1,30,72,100
Ooty,19,1,30,61,100
Coorg,17,1,20,89,100
Coorg,6,0,26,65,73
Coorg,8,1,28,78,100
Ooty,11,1,21,81,100
Ooty,8,1,29,65,100
Kodaikanal,9,0,29,67,91
Kodaikanal,10,0,24,66,97
Coorg,14,0,15,67,87
Yercaud,17,0,28,72,100
Kodaikanal,10,0,17,73,92
Coorg,15,1,24,61,100
Kodaikanal,10,0,26,53,93
Ooty,13,1,28,64,100
Yercaud,13,1,25,74,100
Yercaud,15,0,16,53,100
Kodaikanal,10,0,27,65,93
Ooty,20,0,20,86,100
Munnar,14,1,29,91,100
Munnar,15,1,21,60,100
Yercaud,16,0,30,52,100
Coorg,14,1,29,73,100
Ooty,10,0,28,51,99
Munnar,8,0,28,94,94
Ooty,19,0,25,92,100
Coorg,19,0,28,67,100
Ooty,12,0,18,89,98
Ooty,7,0,16,89,90
Munnar,9,0,17,63,68
Munnar,20,1,18,58,100
Munnar,13,0,27,62,100
Coorg,11,0,30,74,100
Yercaud,11,1,17,70,100
Yercaud,12,0,21,79,90
Kodaikanal,6,1,26,92,100
Yercaud,18,0,24,77,100
Coorg,9,1,15,91,100
Ooty,12,0,27,67,100
Munnar,6,0,26,82,81
Munnar,11,1,21,83,100
Coorg,9,0,27,74,88
Coorg,16,0,27,85,100
Munnar,18,0,16,50,95
Munnar,6,1,20,71,100
Munnar,6,1,25,93,100
Munnar,11,0,25,57,91
Yercaud,14,0,15,51,85
Kodaikanal,17,0,27,67,100
Coorg,6,0,26,69,76
Ooty,8,1,29,85,100
Coorg,7,0,20,53,77
Munnar,17,1,18,64,100
Yercaud,11,1,21,61,100
Yercaud,9,0,30,55,94
Coorg,15,1,18,85,100
Munnar,8,0,20,58,84
Yercaud,19,1,18,81,100
Kodaikanal,17,1,30,78,100
Munnar,6,0,24,59,84
Yercaud,6,1,15,80,84
Kodaikanal,9,0,23,63,77
Yercaud,12,0,27,62,92
Yercaud,17,0,23,94,100
Kodaikanal,14,0,18,88,100
Yercaud,13,1,25,54,100
Yercaud,19,0,23,57,100
Munnar,11,1,22,58,100
Coorg,18,1,21,50,100
Munnar,13,1,21,56,100
Coorg,14,1,30,51,100
Munnar,6,1,29,67,100
Coorg,19,1,25,70,100
Ooty,6,1,29,93,100
Ooty,11,0,25,58,86
Ooty,8,1,28,55,98
Munnar,20,0,27,55,100
Munnar,7,0,17,64,63
Yercaud,6,0,24,53,74
Munnar,19,0,16,72,100
Munnar,8,1,21,66,92
Munnar,16,1,23,80,100
Coorg,19,1,24,60,100
Munnar,7,1,30,95,100
Kodaikanal,18,0,29,95,100
Coorg,16,0,24,85,100
Coorg,15,0,25,60,100
Yercaud,15,0,18,53,98
Coorg,18,0,23,79,100
Coorg,9,1,16,91,100
Yercaud,20,1,20,87,100
Ooty,11,1,21,80,100
Munnar,17,0,24,71,100
Ooty,16,0,23,50,96
Coorg,18,1,26,60,100
Kodaikanal,19,0,26,65,100
Munnar,17,0,16,72,93
Munnar,14,0,15,92,100
Kodaikanal,8,1,20,79,100
Coorg,15,1,23,83,100
Coorg,7,1,15,87,88
Ooty,11,1,20,83,100
Coorg,7,1,19,65,95
Ooty,17,0,30,80,100
Coorg,9,0,28,83,97
Kodaikanal,17,0,20,73,100
Kodaikanal,9,1,23,95,100
Coorg,14,1,15,80,100
Kodaikanal,14,1,24,63,100
Yercaud,13,0,24,93,100
Munnar,7,0,28,63,80
Munnar,16,1,24,85,100
Yercaud,19,1,29,74,100
Kodaikanal,20,1,23,69,100
Coorg,20,0,29,58,100
Munnar,14,0,15,73,100
Munnar,16,0,25,62,100
Coorg,14,0,19,71,94
Yercaud,6,0,23,57,84
Coorg,18,1,16,52,100
Ooty,18,0,20,86,100
Yercaud,11,0,20,52,93
Ooty,16,1,15,92,100
Coorg,20,1,19,93,100
Ooty,6,0,30,61,90
Kodaikanal,7,1,27,66,100
Munnar,15,0,21,53,96
Kodaikanal,20,1,21,54,100
Yercaud,17,0,15,78,100
Ooty,8,1,28,61,100
Yercaud,11,0,24,82,100
Kodaikanal,6,0,24,59,71
Kodaikanal,6,0,28,83,84
Yercaud,11,0,23,64,100
Munnar,15,1,21,63,100
Coorg,16,0,28,51,100
Munnar,6,1,16,51,77
Ooty,7,1,27,81,100
Kodaikanal,15,1,17,82,100
Coorg,17,1,15,66,100
Kodaikanal,8,1,25,60,100
Ooty,19,0,23,78,100
Coorg,16,0,15,92,100
Kodaikanal,17,0,24,50,100
Munnar,15,1,28,86,100
Coorg,16,0,19,59,93
Ooty,18,0,26,87,100
Yercaud,15,0,16,73,91
Coorg,19,0,24,56,100
Munnar,12,0,30,95,100
Yercaud,19,1,23,60,100
Kodaikanal,19,0,17,79,100
Coorg,16,0,30,55,100
Yercaud,10,1,22,81,100
Kodaikanal,6,1,28,95,100
Yercaud,17,0,22,89,100
Yercaud,7,1,21,95,100
Kodaikanal,6,0,19,81,77
Ooty,11,1,24,84,100
Munnar,10,1,16,55,100
Kodaikanal,20,0,16,71,100
Munnar,17,1,18,59,100
Yercaud,19,1,22,61,100
Kodaikanal,7,0,20,76,80
Kodaikanal,6,0,17,76,66
Kodaikanal,17,0,15,57,100
Kodaikanal,18,1,20,59,100
Kodaikanal,18,1,29,51,100
Munnar,17,1,23,91,100
Coorg,20,1,23,56,100
Yercaud,18,0,21,75,100
Coorg,20,1,23,53,100
Coorg,8,1,18,64,100
Yercaud,18,0,24,55,100
Munnar,17,1,21,65,100
Yercaud,10,0,30,64,99
Coorg,18,1,23,67,100
Coorg,11,0,20,89,95
Munnar,10,0,28,59,98
Munnar,9,1,16,70,100
Yercaud,15,1,25,52,100
Ooty,10,0,26,76,100
Munnar,14,1,19,94,100
Coorg,12,0,29,80,100
Coorg,16,0,29,70,100
Munnar,11,0,18,74,90
Munnar,6,1,28,85,100
Kodaikanal,17,1,30,67,100
Yercaud,17,0,27,84,100
Coorg,19,0,17,67,100
Coorg,7,0,15,81,65
Munnar,13,0,30,68,100
Ooty,15,1,19,82,100
Kodaikanal,9,0,17,72,74
Kodaikanal,18,1,28,82,100
Kodaikanal,9,0,22,52,72
Kodaikanal,12,0,27,58,98
Yercaud,19,0,30,87,100
Yercaud,11,1,29,67,100
Yercaud,18,0,30,89,100
Munnar,11,1,24,61,100
Ooty,10,0,16,84,88
Coorg,7,0,17,91,92
Munnar,18,0,30,82,100
Munnar,8,1,16,75,89
Kodaikanal,11,1,23,60,100
Coorg,11,0,28,68,100
Yercaud,17,1,15,53,100
Yercaud,6,1,30,88,100
Coorg,18,0,30,70,100
Yercaud,17,0,18,78,100
Ooty,12,1,28,84,100
Coorg,18,1,16,68,100
Kodaikanal,11,1,27,91,100
Ooty,11,0,17,53,82
Ooty,9,1,28,59,100
Coorg,20,0,24,74,100
Munnar,19,1,25,61,100
Munnar,14,1,27,89,100
Kodaikanal,7,0,20,86,77
Yercaud,16,0,15,92,100
Yercaud,16,1,26,71,100
Munnar,10,0,16,86,95
Yercaud,10,1,24,55,100
Ooty,9,1,26,85,100
Ooty,6,0,28,87,100
Coorg,10,1,26,66,100
Yercaud,12,1,22,50,100
Yercaud,14,0,18,54,87
Yercaud,11,1,30,92,100
Yercaud,14,0,30,79,100
Kodaikanal,11,1,19,90,100
Kodaikanal,7,0,15,60,70
Ooty,15,0,20,69,100
Yercaud,9,0,16,60,80
Munnar,20,0,20,84,100
Coorg,9,1,24,64,100
Ooty,13,0,15,70,87
Munnar,18,0,15,51,100
Coorg,6,0,15,55,59
Munnar,7,0,18,61,67
Ooty,16,1,17,66,100
Yercaud,8,0,23,89,89
Munnar,12,1,29,64,100
Coorg,14,1,21,94,100
Munnar,19,0,28,77,100
Munnar,11,1,25,91,100
Ooty,14,1,19,90,100
Munnar,8,0,23,53,72
Coorg,7,0,18,59,77
Kodaikanal,7,1,23,50,95
Kodaikanal,7,1,28,78,100
Coorg,17,0,29,76,100
Coorg,10,1,19,83,100
Coorg,15,1,24,91,100
Munnar,8,1,27,59,100
Coorg,18,1,23,80,100
Munnar,11,1,25,80,100
Kodaikanal,14,1,20,58,100
Coorg,11,0,20,70,89
Coorg,12,1,19,62,100
Munnar,14,0,29,85,100
Coorg,16,0,18,66,96
Munnar,11,1,15,59,90
Yercaud,16,1,28,81,100
Kodaikanal,15,1,28,83,100
Kodaikanal,13,0,28,78,100
Coorg,16,0,22,67,100
Yercaud,12,0,16,70,94
Kodaikanal,20,1,30,52,100
Coorg,14,1,26,56,100
Munnar,12,0,19,72,93
Coorg,8,1,22,60,98
Yercaud,20,1,30,84,100
Ooty,8,0,25,82,93
Munnar,19,0,30,82,100
Munnar,11,0,16,55,72
Kodaikanal,8,0,20,70,91
Yercaud,18,1,23,87,100
Coorg,8,1,15,75,95
Ooty,14,0,26,93,100
Kodaikanal,19,0,23,82,100
Munnar,6,1,17,53,84
Yercaud,8,1,23,76,99
Yercaud,20,0,23,90,100
Coorg,12,0,29,61,100
Yercaud,13,0,28,73,100
Munnar,10,0,21,84,93
Kodaikanal,17,1,20,82,100
Kodaikanal,7,0,27,76,85
Ooty,9,1,28,80,100
Ooty,17,1,18,82,100
Munnar,6,0,20,56,68
Yercaud,6,1,18,89,97
Ooty,12,0,21,87,100
Coorg,6,1,28,84,100
Munnar,11,1,19,65,97
Coorg,16,1,16,94,100
Kodaikanal,18,0,19,84,100
Coorg,18,1,16,76,100
Coorg,7,0,24,87,90
Munnar,19,1,26,57,100
Kodaikanal,20,1,20,91,100
Ooty,6,1,23,80,95
Coorg,20,1,27,77,100
Munnar,20,0,18,95,100
Ooty,11,1,23,82,100
Ooty,14,0,20,82,100
Munnar,12,1,23,77,100
Coorg,16,1,28,71,100
Coorg,16,1,22,74,100
Ooty,16,0,24,91,100
Kodaikanal,8,0,18,65,68
Kodaikanal,20,0,15,95,100
Coorg,13,0,17,55,80
Yercaud,8,1,25,63,100
Coorg,6,1,24,67,94
Yercaud,6,0,21,84,90
Munnar,18,0,28,83,100
Ooty,15,1,29,65,100
Yercaud,6,1,15,80,96
Kodaikanal,13,0,15,69,89
Ooty,7,1,15,87,93
Coorg,12,0,28,56,90
Munnar,15,0,15,54,86
Kodaikanal,12,1,20,76,100
Ooty,19,1,26,91,100
Yercaud,13,0,24,52,89
Yercaud,19,0,25,69,100
Munnar,13,1,25,95,100
Yercaud,14,0,24,50,90
Munnar,10,1,30,66,100
Munnar,16,0,24,55,100
Kodaikanal,16,1,30,73,100
Ooty,13,1,26,54,100
Ooty,12,1,21,67,100
Kodaikanal,9,0,29,77,92
Yercaud,6,1,15,91,87
Yercaud,15,1,15,83,100
Munnar,9,0,25,84,93
Yercaud,17,0,15,59,96
Ooty,11,0,27,64,97
Munnar,11,1,23,79,100
Yercaud,12,0,25,95,100
Coorg,10,0,22,54,79
Coorg,10,0,18,85,94
Munnar,18,1,15,81,100
Ooty,8,0,26,69,93
Coorg,16,1,21,60,100
Kodaikanal,13,0,19,78,100
Coorg,17,1,22,82,100
Kodaikanal,17,1,26,83,100
Kodaikanal,19,1,17,72,100
Ooty,11,0,19,54,79
Coorg,17,1,27,82,100
Ooty,8,0,20,79,83
Coorg,20,0,20,80,100
Coorg,14,1,30,84,100
Ooty,15,0,24,56,96
Kodaikanal,20,0,20,76,100
Kodaikanal,14,1,17,52,100
Yercaud,17,1,15,78,100
Munnar,16,1,15,77,100
Munnar,17,1,16,72,100
Kodaikanal,13,1,15,90,100
Ooty,10,0,26,79,96
Kodaikanal,16,0,23,74,100
Munnar,18,0,29,56,100
Munnar,12,1,15,66,100
Munnar,14,1,26,84,100
Kodaikanal,11,0,30,76,99
Kodaikanal,19,0,23,68,100
Yercaud,12,1,30,50,100
Coorg,13,0,24,91,100
Coorg,19,0,21,65,100
Yercaud,16,0,22,79,100
Ooty,13,1,21,73,100
Munnar,18,1,19,57,100
